Nombre,Tipo,NivelBase,CategoriaGO,EtiquetasGO,esBebe,Region,Ataque Base,Defensa Base,Stamina Base,ScorePvE,ScorePvP_GL,ScorePvP_UL,UsoPrincipal,Contadores,EsRaid,EvolucionaA,EvolucionRecomendada,UsoEvolucionRecomendada,ScoreEvolucionRecomendada,CosteCaramelosEvolucionRecomendada,ObjetosEvolucionRecomendada,fechaActualizacion
Bulbasaur,planta/veneno,normal,normal,sombra,no,,118,111,128,40,43,42,coleccionable,hada/planta/tierra,no,Ivysaur,Venusaur,coleccionable,187,125,,2026-03-30
Ivysaur,planta/veneno,normal,normal,sombra,no,,151,143,155,51,49,49,coleccionable,hada/planta/tierra,no,Venusaur,Venusaur,coleccionable,187,100,,2026-03-30
Venusaur,planta/veneno,normal,normal,"mega,sombra",no,,198,189,190,66,61,60,coleccionable,hada/planta/tierra,no,,,,,,,2026-03-30
Charmander,fuego,normal,normal,sombra,no,,116,93,118,38,41,40,coleccionable,bicho/planta/hielo,no,Charmeleon,Charizard,coleccionable,190,125,,2026-03-30
Charmeleon,fuego,normal,normal,sombra,no,,158,126,151,51,47,49,coleccionable,bicho/planta/hielo,no,Charizard,Charizard,coleccionable,190,100,,2026-03-30
Charizard,fuego/volador,normal,normal,"mega,sombra",no,,223,173,186,69,59,62,coleccionable,bicho/lucha/planta,no,,,,,,,2026-03-30
Squirtle,agua,normal,normal,sombra,no,,94,121,127,37,44,39,coleccionable,fuego/tierra/roca,no,Wartortle,Blastoise,coleccionable,180,125,,2026-03-30
Wartortle,agua,normal,normal,sombra,no,,126,155,153,48,50,47,coleccionable,fuego/tierra/roca,no,Blastoise,Blastoise,coleccionable,180,100,,2026-03-30
Blastoise,agua,normal,normal,"mega,sombra",no,,171,207,188,63,61,56,coleccionable,fuego/tierra/roca,no,,,,,,,2026-03-30
Caterpie,bicho,normal,normal,,no,,55,55,128,26,38,31,coleccionable,siniestro/planta/psiquico,no,Metapod,Butterfree,coleccionable,152,62,,2026-03-30
Metapod,bicho,normal,normal,,no,,45,80,137,27,41,31,coleccionable,siniestro/planta/psiquico,no,Butterfree,Butterfree,coleccionable,152,50,,2026-03-30
Butterfree,bicho/volador,normal,normal,,no,,167,137,155,53,48,51,coleccionable,bicho/siniestro/lucha,no,,,,,,,2026-03-30
Weedle,bicho/veneno,normal,normal,sombra,no,,63,50,120,26,36,31,coleccionable,siniestro/hada/planta,no,Kakuna,Beedrill,coleccionable,153,62,,2026-03-30
Kakuna,bicho/veneno,normal,normal,sombra,no,,46,75,128,26,39,30,coleccionable,siniestro/hada/planta,no,Beedrill,Beedrill,coleccionable,153,50,,2026-03-30
Beedrill,bicho/veneno,normal,normal,"mega,sombra",no,,169,130,163,54,48,51,coleccionable,siniestro/hada/planta,no,,,,,,,2026-03-30
Pidgey,normal/volador,normal,normal,,no,,85,73,120,31,39,35,coleccionable,bicho/lucha/planta,no,Pidgeotto,Pidgeot,coleccionable,167,62,,2026-03-30
Pidgeotto,normal/volador,normal,normal,,no,,117,105,160,43,46,43,coleccionable,bicho/lucha/planta,no,Pidgeot,Pidgeot,coleccionable,167,50,,2026-03-30
Pidgeot,normal/volador,normal,normal,mega,no,,166,154,195,59,54,54,coleccionable,bicho/lucha/planta,no,,,,,,,2026-03-30
Rattata,normal,normal,normal,sombra,no,,103,70,102,32,36,37,coleccionable,,no,Raticate,Raticate,coleccionable,149,25,,2026-03-30
Raticate,normal,normal,normal,sombra,no,,161,139,146,51,48,50,coleccionable,,no,,,,,,,2026-03-30
Spearow,normal/volador,normal,normal,,no,,112,60,120,35,38,38,coleccionable,bicho/lucha/planta,no,Fearow,Fearow,coleccionable,158,50,,2026-03-30
Fearow,normal/volador,normal,normal,,no,,182,133,163,56,49,53,coleccionable,bicho/lucha/planta,no,,,,,,,2026-03-30
Ekans,veneno,normal,normal,sombra,no,,110,97,111,36,40,39,coleccionable,hada/planta,no,Arbok,Arbok,coleccionable,157,50,,2026-03-30
Arbok,veneno,normal,normal,sombra,no,,167,153,155,55,50,52,coleccionable,hada/planta,no,,,,,,,2026-03-30
Pikachu,electrico,normal,normal,,no,,112,96,111,37,40,40,coleccionable,volador/agua,no,Raichu,Raichu,coleccionable,164,50,,2026-03-30
Raichu,electrico,normal,normal,,no,,193,151,155,59,50,55,coleccionable,volador/agua,no,,,,,,,2026-03-30
Sandshrew,tierra,normal,normal,sombra,no,,126,120,137,44,45,44,coleccionable,electrico/fuego/veneno,no,Sandslash,Sandslash,coleccionable,173,50,,2026-03-30
Sandslash,tierra,normal,normal,sombra,no,,182,175,181,62,55,56,coleccionable,electrico/fuego/veneno,no,,,,,,,2026-03-30
Nidoran♀,veneno,normal,normal,sombra,no,,86,89,146,35,43,37,coleccionable,hada/planta,no,Nidorina,Nidoqueen,coleccionable,180,125,,2026-03-30
Nidorina,veneno,normal,normal,sombra,no,,117,120,172,46,48,45,coleccionable,hada/planta,no,Nidoqueen,Nidoqueen,coleccionable,180,100,,2026-03-30
Nidoqueen,veneno/tierra,normal,normal,sombra,no,,180,173,207,64,59,57,coleccionable,electrico/hada/fuego,no,,,,,,,2026-03-30
